Source,Target
عادلانه, آرمانخواه
عادلانه, روز_معلم
 آرمانخواه, روز_معلم
رمضان, رزمایش_همدلی
رمضان, ایران_همدل
 رزمایش_همدلی, ایران_همدل
قرارگاه, کرونا
قرارگاه, حمله_بیولوژیکی
 کرونا, حمله_بیولوژیکی
سپاه_قدس, سایه_جنگ
سپاه_قدس, ایران
سپاه_قدس, رزمندگان_بدون_مرز
شهید_سلیمانی, ایام_الله
شهید_سلیمانی, نماز_جمعه_تاریخ ساز
 ایام_الله, نماز_جمعه_تاریخ ساز
سلیمانی, قاآنی
سلیمانی, نیروی_قدس
 قاآنی, نیروی_قدس
ملت_ایران, سپهبد_قاسم_سلیمانی
ملت_ایران, سه_روز_عزای_عمومی
 سپهبد_قاسم_سلیمانی, سه_روز_عزای_عمومی
خط_جهاد_مقاومت, شهید_سلیمانی
خط_جهاد_مقاومت, ادامه_مبارزه
خط_جهاد_مقاومت, پیروزی_نهایی
انتقام_سخت, انتقام_سخت
انتقام_سخت, شهید_سلیمانی
انتقام_سخت, چهره_بین المللی_مقاومت
عراق, داعش
عراق, حشدالشعبی
عراق, آمریکا
صدام, پهلوی
صدام, شوروی
صدام, قدرتهای_پوشالی
فروپاشی, شوروی
فروپاشی, مردم
 شوروی, مردم
شهدا, فراموشی
شهدا, حرکت_خبیثانه
 فراموشی, حرکت_خبیثانه
جزیره_هرمز, بندرعباس
جزیره_هرمز, شجاعت
جزیره_هرمز, دفاع_از_حق
دفاع_مقدس, کربلای۴
دفاع_مقدس, شهدا
 کربلای۴, شهدا
ایرانشهر, تبعید
ایرانشهر, بلوچ
 تبعید, بلوچ
روژه_گارودی, آزادی
روژه_گارودی, هولوکاست
 آزادی, هولوکاست
نیجریه, شیخ_زکزاکی
نیجریه, دنیای_اسلام
 شیخ_زکزاکی, دنیای_اسلام
نماز, معنویت
نماز, سلامت
 معنویت, سلامت
شورای_عالی_انقلاب_فرهنگی, قرارگاه_مركزی
شورای_عالی_انقلاب_فرهنگی, فرماندهی
 قرارگاه_مركزی, فرماندهی
۱۶آذر, ۲۸مرداد
۱۶آذر, نیکسون
۱۶آذر, آمریکا
حضرت_معصومه, قم
حضرت_معصومه, دنیای_اسلام
 قم, دنیای_اسلام
شیعه, اسلام
شیعه, ولادت_امام_حسن_عسکری
 اسلام, ولادت_امام_حسن_عسکری
میرزا_کوچک_خان, جمهوری_اسلامی
میرزا_کوچک_خان, رشت
میرزا_کوچک_خان, گیلان
مقاومت, نظام_سلطه
مقاومت, آزادی
مقاومت, عدالت
اسلام, نظامی
اسلام, تقابل_حتمی_است
اسلام, نظام_سلطه
اسلام, نظام_سلطه
اسلام, عدالت
اسلام, آزادی
نظام_سلطه, اسلام
نظام_سلطه, عدالت
نظام_سلطه, آزادی
سوریه, نفت
سوریه, نظام_سلطه
سوریه, ضد_آزادی
نظام_سلطه, ضد_آزادی
نظام_سلطه, آزادی
 ضد_آزادی, آزادی
بسیج, حشدالشعبی
بسیج, حزب_الله
 حشدالشعبی, حزب_الله
بسیج_مستضعفین, مستضعفین
بسیج_مستضعفین, مستضعفین
 مستضعفین, مستضعفین
زنجان, تبریز
زنجان, روستاها
